metric,mean,std
faithfulness,0.9538922155688623,0.19902216047285146
completeness,0.6157684630738522,0.4507004085680788
relevance,0.22954091816367264,0.403888089478206
bertscore_f1,0.7679127718802395,0.01765382531887108
rougeL,0.10207964596207586,0.0744625948102119
bleu,0.02054812407783433,0.04879213623338199
cosine_sim,0.07563258080439121,0.2084167850747985
