,NER,NER,NER,NER,NER,NER,NER,NO_NER,NO_NER,NO_NER,NO_NER,NO_NER,NO_NER,NO_NER,MICROSOFT,MICROSOFT,MICROSOFT,MICROSOFT,MICROSOFT,MICROSOFT,MICROSOFT
,mean,std,min,25%,50%,75%,max,mean,std,min,25%,50%,75%,max,mean,std,min,25%,50%,75%,max
faithfulness,0.8572327044025156,0.3497789653418522,0.0,1.0,1.0,1.0,1.0,0.4945436507936508,0.4904044397005587,0.0,0.0,0.5,1.0,1.0,0.9538922155688623,0.19902216047285146,0.0,1.0,1.0,1.0,1.0
completeness,0.46278825995807127,0.4923006179723327,0.0,0.0,0.0,1.0,1.0,0.3864087301587302,0.4451479559476646,0.0,0.0,0.0,0.9,1.0,0.6157684630738522,0.4507004085680788,0.0,0.0,1.0,1.0,1.0
relevance,0.4276729559748428,0.4950006454491051,0.0,0.0,0.0,1.0,1.0,0.5402777777777777,0.48116946478897127,0.0,0.0,0.9,1.0,1.0,0.22954091816367264,0.403888089478206,0.0,0.0,0.0,0.2,1.0
bertscore_f1,0.7875042531981132,0.017223413341295277,0.743745565,0.7741564812499999,0.7875154015000001,0.79737207275,0.847896695,0.8041488677202381,0.015528659049730205,0.759729147,0.792946696,0.8027467425,0.8141658455,0.859861135,0.7679127718802395,0.01765382531887108,0.725871921,0.759376287,0.763779104,0.769432902,0.870158613
rougeL,0.027461931576519917,0.027350821350749177,0.002304147,0.00806455975,0.012490249500000002,0.043555029,0.191435768,0.045973758952380955,0.028498610398051724,0.003666361,0.025,0.037820491,0.06207952625,0.172839506,0.10207964596207586,0.0744625948102119,0.005405405,0.066945607,0.087866109,0.106712565,0.604133545
bleu,5.290814308295789e-05,0.00064257088575133,0.0,4.5050000000000005e-31,1.105e-24,4.1475e-11,0.014468969,6.160599701019854e-05,0.0003742903507045002,2.2299999999999998e-67,1.6e-17,2.08e-12,3.8400000000000005e-07,0.005135208,0.02054812407783433,0.04879213623338199,1.69e-82,0.000803379,0.004542904,0.015082774,0.412934981
cosine_sim,0.22517215572117402,0.28827725424848416,-0.181002036,-0.001426825,0.06614772199999999,0.5144576725000001,0.869174838,0.47881589578174605,0.20342021631867824,-0.084202863,0.38588882199999996,0.5061978995,0.6264417019999999,0.929997981,0.07563258080439121,0.2084167850747985,-0.289616674,-0.035433307,0.022466801,0.106484383,0.926092982
